"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","HM00108598","HM00110618","L2074","YA00082404","egd-e"
"group_173","","hypothetical protein","5","5","1","1","387","","","","896","896","896","HM00108598_00292","HM00110618_00191","HL2074_01810","YA00082404_00540","EGD-e_01857"
"fabD","","Malonyl CoA-acyl carrier protein transacylase","5","5","1","1","379","","","","941","941","941","HM00108598_00300","HM00110618_00199","HL2074_01818","YA00082404_00548","EGD-e_01865"
"prkC","","Serine/threonine-protein kinase PrkC","5","5","1","1","366","","","","1967","1967","1967","HM00108598_00312","HM00110618_00211","HL2074_01830","YA00082404_00560","EGD-e_01877"
"fmt","","Methionyl-tRNA formyltransferase","5","5","1","1","363","","","","938","950","945","HM00108598_00315","HM00110618_00214","HL2074_01833","YA00082404_00563","EGD-e_01880"
"group_177","","hypothetical protein","5","5","1","1","357","","","","875","875","875","HM00108598_00320","HM00110618_00219","HL2074_01838","YA00082404_00568","EGD-e_01885"
"group_178","","hypothetical protein","5","5","1","1","355","","","","599","599","599","HM00108598_00322","HM00110618_00221","HL2074_01840","YA00082404_00570","EGD-e_01887"
"pyrF","","Orotidine 5'-phosphate decarboxylase","5","5","1","1","353","","","","701","701","701","HM00108598_00324","HM00110618_00223","HL2074_01842","YA00082404_00572","EGD-e_01889"
"group_180","","hypothetical protein","5","5","1","1","343","","","","230","230","230","HM00108598_00333","HM00110618_00232","HL2074_01851","YA00082404_00581","EGD-e_01898"
"rsbRD_1","","RsbT co-antagonist protein RsbRD","5","5","1","1","342","","","","824","824","824","HM00108598_00334","HM00110618_00233","HL2074_01852","YA00082404_00582","EGD-e_01899"
"group_182","","hypothetical protein","5","5","1","1","323","","","","614","614","614","HM00108598_00353","HM00110618_00252","HL2074_01871","YA00082404_00601","EGD-e_01918"
"group_183","","hypothetical protein","5","5","1","1","322","","","","785","785","785","HM00108598_00354","HM00110618_00253","HL2074_01872","YA00082404_00602","EGD-e_01919"
"group_184","","putative membrane protein","5","5","1","1","312","","","","623","623","623","HM00108598_00362","HM00110618_00261","HL2074_01880","YA00082404_00610","EGD-e_01927"
"algC","","Phosphomannomutase/phosphoglucomutase","5","5","1","1","311","","","","1511","1511","1511","HM00108598_00364","HM00110618_00263","HL2074_01881","YA00082404_00612","EGD-e_01928"
"rlmA","","23S rRNA (guanine(745)-N(1))-methyltransferase","5","5","1","1","310","","","","875","875","875","HM00108598_00365","HM00110618_00264","HL2074_01882","YA00082404_00613","EGD-e_01929"
"thyA","","Thymidylate synthase","5","5","1","1","308","","","","944","944","944","HM00108598_00367","HM00110618_00266","HL2074_01884","YA00082404_00615","EGD-e_01931"
"ettA_2","","Energy-dependent translational throttle protein EttA","5","5","1","1","307","","","","1892","1892","1892","HM00108598_00368","HM00110618_00267","HL2074_01885","YA00082404_00616","EGD-e_01932"
"rnhA","","14.7 kDa ribonuclease H-like protein","5","5","1","1","302","","","","401","401","401","HM00108598_00372","HM00110618_00271","HL2074_01889","YA00082404_00620","EGD-e_01937"
"dgcT","","hypothetical protein","5","5","1","1","268","","","","602","1136","1029","HM00108598_00404","HM00110618_00772","HL2074_01920","YA00082404_00652","EGD-e_01969"
"rpsN2","","Alternate 30S ribosomal protein S14","5","5","1","1","300","","","","269","269","269","HM00108598_00374","HM00110618_00273","HL2074_01891","YA00082404_00622","EGD-e_01939"
"ypmB","","putative protein YpmB","5","5","1","1","283","","","","584","584","584","HM00108598_00391","HM00110618_00290","HL2074_01907","YA00082404_00639","EGD-e_01956"
"panB","","3-methyl-2-oxobutanoate hydroxymethyltransferase","5","5","1","1","278","","","","833","833","833","HM00108598_00395","HM00110618_00294","HL2074_01911","YA00082404_00643","EGD-e_01960"
"ypjD","","putative protein YpjD","5","5","1","1","272","","","","395","419","404","HM00108598_00401","HM00110618_00300","HL2074_01917","YA00082404_00649","EGD-e_01966"
"mleS","","Malolactic enzyme","5","5","1","1","263","","","","1643","1643","1643","HM00108598_00408","HM00110618_00768","HL2074_01924","YA00082404_00656","EGD-e_01973"
"group_195","","hypothetical protein","5","5","1","1","262","","","","1007","1007","1007","HM00108598_00409","HM00110618_00767","HL2074_01925","YA00082404_00657","EGD-e_01974"
"group_196","","hypothetical protein","5","5","1","1","258","","","","596","596","596","HM00108598_00413","HM00110618_00763","HL2074_01929","YA00082404_00661","EGD-e_01978"
"bepA","","Beta-barrel assembly-enhancing protease","5","5","1","1","256","","","","1253","1253","1253","HM00108598_00415","HM00110618_00761","HL2074_01931","YA00082404_00663","EGD-e_01980"
"group_198","","hypothetical protein","5","5","1","1","254","","","","1103","1103","1103","HM00108598_00417","HM00110618_00759","HL2074_01933","YA00082404_00665","EGD-e_01982"
"hisC","","Histidinol-phosphate aminotransferase","5","5","1","1","253","","","","1082","1082","1082","HM00108598_00418","HM00110618_00758","HL2074_01934","YA00082404_00666","EGD-e_01983"
"slmA","","Nucleoid occlusion factor SlmA","5","5","1","1","216","","","","620","620","620","HM00108598_00456","HM00110618_00720","HL2074_01971","YA00082404_00704","EGD-e_02020"
"aroB","","3-dehydroquinate synthase","5","5","1","1","251","","","","1097","1097","1097","HM00108598_00420","HM00110618_00756","HL2074_01936","YA00082404_00668","EGD-e_01985"
"ndk","","Nucleoside diphosphate kinase","5","5","1","1","249","","","","443","443","443","HM00108598_00422","HM00110618_00754","HL2074_01938","YA00082404_00670","EGD-e_01987"
"hepT_2","","Heptaprenyl diphosphate synthase component 2","5","5","1","1","248","","","","965","965","965","HM00108598_00423","HM00110618_00753","HL2074_01939","YA00082404_00671","EGD-e_01988"
"hepS","","Heptaprenyl diphosphate synthase component 1","5","5","1","1","246","","","","767","767","767","HM00108598_00425","HM00110618_00751","HL2074_01941","YA00082404_00673","EGD-e_01990"
"group_204","","hypothetical protein","5","5","1","1","243","","","","980","980","980","HM00108598_00428","HM00110618_00748","HL2074_01944","YA00082404_00676","EGD-e_01993"
"cmk","","Cytidylate kinase","5","5","1","1","239","","","","674","674","674","HM00108598_00432","HM00110618_00744","HL2074_01948","YA00082404_00680","EGD-e_01997"
"dbpA_1","","ATP-dependent RNA helicase DbpA","5","5","1","1","236","","","","1403","1403","1403","HM00108598_00435","HM00110618_00741","HL2074_01951","YA00082404_00683","EGD-e_02000"
"fer","","Ferredoxin","5","5","1","1","234","","","","224","224","224","HM00108598_00437","HM00110618_00739","HL2074_01953","YA00082404_00685","EGD-e_02002"
"yxeB","","Iron(3+)-hydroxamate-binding protein YxeB","5","5","1","1","219","","","","941","941","941","HM00108598_00453","HM00110618_00723","HL2074_01968","YA00082404_00701","EGD-e_02017"
"yumC_1","","Ferredoxin--NADP reductase 2","5","5","1","1","217","","","","998","998","998","HM00108598_00455","HM00110618_00721","HL2074_01970","YA00082404_00703","EGD-e_02019"
"group_210","","hypothetical protein","5","5","1","1","212","","","","659","659","659","HM00108598_00460","HM00110618_00716","HL2074_01975","YA00082404_00708","EGD-e_02024"
"group_211","","hypothetical protein","5","5","1","1","194","","","","527","527","527","HM00108598_00469","HM00110618_00707","HL2074_01991","YA00082404_00717","EGD-e_02040"
"leuB","","3-isopropylmalate dehydrogenase","5","5","1","1","188","","","","1052","1052","1052","HM00108598_00475","HM00110618_00701","HL2074_01997","YA00082404_00723","EGD-e_02046"
"group_213","rbsR_3","Ribose operon repressor","5","5","1","1","182","","","","1010","1010","1010","HM00108598_00481","HM00110618_01579","HL2074_02003","YA00082404_02189","EGD-e_02052"
"manX_4","","PTS system mannose-specific EIIAB component","5","5","1","1","179","","","","416","416","416","HM00108598_00484","HM00110618_01582","HL2074_02006","YA00082404_02186","EGD-e_02055"
"frlB","","Fructosamine deglycase FrlB","5","5","1","1","178","","","","995","995","995","HM00108598_00485","HM00110618_01583","HL2074_02007","YA00082404_02185","EGD-e_02056"
"glmS_3","","Glutamine--fructose-6-phosphate aminotransferase [isomerizing]","5","5","1","1","177","","","","1064","1064","1064","HM00108598_00486","HM00110618_01584","HL2074_02008","YA00082404_02184","EGD-e_02057"
"iolS_2","","Aldo-keto reductase IolS","5","5","1","1","171","","","","995","995","995","HM00108598_00493","HM00110618_01591","HL2074_02014","YA00082404_02177","EGD-e_02063"
"rssB","","Regulator of RpoS","5","5","1","1","166","","","","1484","1484","1484","HM00108598_00498","HM00110618_01596","HL2074_02019","YA00082404_02172","EGD-e_02068"
"group_219","","hypothetical protein","5","5","1","1","165","","","","1739","1739","1739","HM00108598_00499","HM00110618_01597","HL2074_02020","YA00082404_02171","EGD-e_02069"
"yesV","","putative protein YesV","5","5","1","1","164","","","","611","611","611","HM00108598_00500","HM00110618_01598","HL2074_02021","YA00082404_02170","EGD-e_02070"
"group_221","","hypothetical protein","5","5","1","1","163","","","","1304","1304","1304","HM00108598_00501","HM00110618_01599","HL2074_02022","YA00082404_02169","EGD-e_02071"
"mngB_2","","Mannosylglycerate hydrolase","5","5","1","1","162","","","","2657","2657","2657","HM00108598_00502","HM00110618_01600","HL2074_02023","YA00082404_02168","EGD-e_02072"
"group_224","","hypothetical protein","5","5","1","1","602","","","","848","848","848","HM00108598_00515","HM00110618_02495","HL2074_01103","YA00082404_02686","EGD-e_00837"
"group_225","","hypothetical protein","5","5","1","1","600","","","","662","662","662","HM00108598_00517","HM00110618_02493","HL2074_01101","YA00082404_02684","EGD-e_00839"
"mvaA","","3-hydroxy-3-methylglutaryl-coenzyme A reductase","5","5","1","1","596","","","","1280","1280","1280","HM00108598_00521","HM00110618_02489","HL2074_01097","YA00082404_02680","EGD-e_00843"
"group_227","","hypothetical protein","5","5","1","1","586","","","","890","890","890","HM00108598_00527","HM00110618_03025","HL2074_01091","YA00082404_02674","EGD-e_00851"
"group_228","","Putative multidrug export ATP-binding/permease protein","5","5","1","1","1435","","","","1604","1637","1630","HM00108598_00531","HM00110618_02347","HL2074_01087","YA00082404_02699","EGD-e_00855"
"metE_2","","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","5","5","1","1","1443","","","","1103","1103","1103","HM00108598_00539","HM00110618_02339","HL2074_01079","YA00082404_02707","EGD-e_00863"
"uvrC_2","","UvrABC system protein C","5","5","1","1","1444","","","","1100","1100","1100","HM00108598_00540","HM00110618_02338","HL2074_01078","YA00082404_02708","EGD-e_00864"
"murF","","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase","5","5","1","1","1454","","","","1412","1412","1412","HM00108598_00550","HM00110618_01345","HL2074_01068","YA00082404_00510","EGD-e_00874"
"group_232","","hypothetical protein","5","5","1","1","1469","","","","998","998","998","HM00108598_00564","HM00110618_01359","HL2074_01055","YA00082404_00496","EGD-e_00887"
"group_2325","","hypothetical protein","5","5","1","1","2929","","","","464","464","464","HM00108598_00151","HM00110618_00118","HL2074_02749","YA00082404_00122","EGD-e_02805"
"group_2326","","hypothetical protein","5","5","1","1","2885","","","","614","614","614","HM00108598_00735","HM00110618_00869","HL2074_02545","YA00082404_00827","EGD-e_02661"
"mgsA","","Methylglyoxal synthase","5","5","1","1","274","","","","404","404","404","HM00108598_00399","HM00110618_00298","HL2074_01915","YA00082404_00647","EGD-e_01964"
"licH_1","","putative 6-phospho-beta-glucosidase","5","5","1","1","910","","","","1322","1322","1322","HM00108598_01789","HM00110618_01161","HL2074_01387","YA00082404_01004","EGD-e_00552"
"yhbY","","RNA-binding protein YhbY","5","5","1","1","2147","","","","290","290","290","HM00108598_02897","HM00110618_00621","HL2074_00440","YA00082404_01493","EGD-e_01518"
"ydhP","","Inner membrane transport protein YdhP","5","5","1","1","1472","","","","1166","1166","1166","HM00108598_00567","HM00110618_01362","HL2074_01052","YA00082404_00493","EGD-e_00890"
"greA","","Transcription elongation factor GreA","5","5","1","1","2154","","","","482","482","482","HM00108598_02890","HM00110618_00614","HL2074_00433","YA00082404_02008","EGD-e_01525"
"group_2331","","hypothetical protein","5","5","1","1","2946","","","","95","95","95","HM00108598_00168","HM00110618_00101","HL2074_02733","YA00082404_00105","EGD-e_02789"
"group_2332","","hypothetical protein","5","5","1","1","689","","","","404","404","404","HM00108598_01287","HM00110618_01452","HL2074_01188","YA00082404_02015","EGD-e_00751"
"group_2333","","hypothetical protein","5","5","1","1","2033","","","","926","926","926","HM00108598_01748","HM00110618_01196","HL2074_00544","YA00082404_02477","EGD-e_01414"
"mnmG","","tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG","5","5","1","1","2575","","","","1889","1889","1889","HM00108598_00047","HM00110618_00954","HL2074_02854","YA00082404_00226","EGD-e_02913"
"xpt","","Xanthine phosphoribosyltransferase","5","5","1","1","297","","","","578","578","578","HM00108598_00377","HM00110618_00276","HL2074_01894","YA00082404_00625","EGD-e_01942"
"tuf","","Elongation factor Tu","5","5","1","1","2986","","","","1187","1187","1187","HM00108598_00206","HM00110618_00064","HL2074_02697","YA00082404_00068","EGD-e_02751"
"rnjA","","Ribonuclease J1","5","5","1","1","1634","","","","1667","1667","1667","HM00108598_00728","HM00110618_00601","HL2074_00891","YA00082404_00332","EGD-e_01050"
"rpsF","","30S ribosomal protein S6","5","5","1","1","2677","","","","293","293","293","HM00108598_02433","HM00110618_02520","HL2074_00044","YA00082404_02839","EGD-e_00044"
"tmpC","","Membrane lipoprotein TmpC","5","5","1","1","2037","","","","1073","1073","1073","HM00108598_01751","HM00110618_01193","HL2074_00541","YA00082404_02474","EGD-e_01417"
"group_234","","hypothetical protein","5","5","1","1","1473","","","","2018","2018","2018","HM00108598_00568","HM00110618_01363","HL2074_01051","YA00082404_00492","EGD-e_00891"
"group_2340","","tRNA-Gln(ttg)","5","5","1","1","3528","","","","73","73","73","HM00108598_02204","HM00110618_03007","HL2074_02326","YA00082404_02229","EGD-e_02438"
"rpmD","","50S ribosomal protein L30","5","5","1","1","3025","","","","179","179","179","HM00108598_00244","HM00110618_00026","HL2074_02658","YA00082404_00030","EGD-e_02712"
"group_2342","","hypothetical protein","5","5","1","1","2628","","","","287","287","287","HM00108598_02916","HM00110618_02611","HL2074_00004","YA00082404_00277","EGD-e_00004"
"hit","","Protein hit","5","5","1","1","3243","","","","422","422","422","HM00108598_02292","HM00110618_00422","HL2074_02238","YA00082404_01377","EGD-e_02281"
"cdd","","Cytidine deaminase","5","5","1","1","2117","","","","395","395","395","HM00108598_02650","HM00110618_00647","HL2074_00466","YA00082404_01467","EGD-e_01492"
